YearMonth;Lkw-Maut-Fahrleistungsindex
2017-12;110.5
2018-01;111.8
2018-02;111
2018-03;110.5
2018-04;110
2018-05;113.2
2018-06;112.1
2018-07;111.2
2018-08;111.7
2018-09;112.3
2018-10;113
2018-11;113.1
2018-12;114.8
2019-01;114.4
2019-02;113.5
2019-03;114.2
2019-04;113
2019-05;111.7
2019-06;112.7
2019-07;112.7
2019-08;111.5
2019-09;111
2019-10;111.7
2019-11;112.2
2019-12;111.7
2020-01;113.8
2020-02;115.7
2020-03;109.2
2020-04;97.4
2020-05;103.7
2020-06;108.5
2020-07;110.6
2020-08;111.8
2020-09;112.5
2020-10;112.8
2020-11;113.9
2020-12;119
2021-01;115.2
