Woche,Spedition: (Deutschland),Spediteur: (Deutschland),Transport: (Deutschland),Instafreight: (Deutschland)
2017-12-03,71,<1,39,<1
2017-12-10,80,2,35,0
2017-12-17,68,2,33,0
2017-12-24,37,2,32,0
2017-12-31,54,<1,36,0
2018-01-07,66,1,39,0
2018-01-14,67,1,41,0
2018-01-21,87,1,35,0
2018-01-28,76,1,34,0
2018-02-04,71,1,41,0
2018-02-11,73,2,40,0
2018-02-18,75,1,36,0
2018-02-25,71,2,40,0
2018-03-04,80,<1,36,0
2018-03-11,81,1,36,<1
2018-03-18,74,1,37,0
2018-03-25,65,1,35,<1
2018-04-01,60,<1,37,0
2018-04-08,85,1,43,0
2018-04-15,80,2,39,0
2018-04-22,100,2,42,0
2018-04-29,67,1,33,0
2018-05-06,66,2,45,0
2018-05-13,75,2,37,0
2018-05-20,61,<1,44,0
2018-05-27,73,1,42,0
2018-06-03,82,3,44,0
2018-06-10,83,1,46,0
2018-06-17,86,1,45,0
2018-06-24,76,1,42,0
2018-07-01,73,2,34,0
2018-07-08,72,2,45,0
2018-07-15,78,1,44,0
2018-07-22,86,2,36,0
2018-07-29,65,1,43,0
2018-08-05,72,1,34,1
2018-08-12,71,1,33,0
2018-08-19,69,2,40,0
2018-08-26,75,0,41,0
2018-09-02,74,<1,35,0
2018-09-09,76,1,53,0
2018-09-16,92,<1,47,0
2018-09-23,80,0,52,0
2018-09-30,76,3,28,0
2018-10-07,90,1,41,0
2018-10-14,66,2,46,<1
2018-10-21,80,2,40,<1
2018-10-28,54,0,28,0
2018-11-04,68,2,36,0
2018-11-11,77,1,40,0
2018-11-18,65,2,35,0
2018-11-25,73,1,39,0
2018-12-02,79,3,33,0
2018-12-09,71,1,42,0
2018-12-16,62,1,36,0
2018-12-23,31,<1,23,0
2018-12-30,55,2,37,0
2019-01-06,73,1,35,0
2019-01-13,80,1,40,0
2019-01-20,75,2,39,0
2019-01-27,60,1,40,0
2019-02-03,70,2,43,0
2019-02-10,79,2,43,0
2019-02-17,77,1,40,<1
2019-02-24,71,2,53,0
2019-03-03,72,2,34,0
2019-03-10,76,1,39,0
2019-03-17,70,2,38,0
2019-03-24,68,1,44,0
2019-03-31,81,2,39,0
2019-04-07,76,2,43,0
2019-04-14,70,2,37,<1
2019-04-21,68,<1,43,0
2019-04-28,76,1,47,0
2019-05-05,67,1,50,0
2019-05-12,71,1,45,0
2019-05-19,75,0,45,0
2019-05-26,61,1,35,0
2019-06-02,66,2,56,0
2019-06-09,61,<1,36,0
2019-06-16,61,<1,36,0
2019-06-23,83,<1,38,0
2019-06-30,74,1,44,0
2019-07-07,82,1,43,0
2019-07-14,71,1,42,0
2019-07-21,70,2,42,0
2019-07-28,60,2,47,0
2019-08-04,71,<1,32,0
2019-08-11,68,1,35,<1
2019-08-18,75,2,40,0
2019-08-25,67,1,32,<1
2019-09-01,76,2,43,0
2019-09-08,70,2,36,0
2019-09-15,71,1,39,0
2019-09-22,70,1,35,0
2019-09-29,69,2,37,0
2019-10-06,66,1,43,0
2019-10-13,70,2,38,0
2019-10-20,65,2,40,<1
2019-10-27,57,<1,33,0
2019-11-03,63,1,45,<1
2019-11-10,74,3,38,0
2019-11-17,68,1,34,0
2019-11-24,62,1,42,<1
2019-12-01,72,1,40,0
2019-12-08,67,1,64,0
2019-12-15,63,2,52,0
2019-12-22,28,0,34,0
2019-12-29,38,1,33,0
2020-01-05,63,2,36,0
2020-01-12,74,1,36,0
2020-01-19,72,2,41,0
2020-01-26,78,3,47,0
2020-02-02,67,1,43,0
2020-02-09,77,1,41,0
2020-02-16,68,2,42,0
2020-02-23,69,1,41,0
2020-03-01,70,<1,34,0
2020-03-08,66,2,31,<1
2020-03-15,59,<1,34,0
2020-03-22,61,1,31,1
2020-03-29,56,2,27,0
2020-04-05,53,1,32,0
2020-04-12,57,1,28,0
2020-04-19,71,1,37,0
2020-04-26,51,2,35,0
2020-05-03,69,2,34,0
2020-05-10,63,1,38,0
2020-05-17,56,<1,35,0
2020-05-24,61,1,29,<1
2020-05-31,76,1,33,<1
2020-06-07,57,1,36,0
2020-06-14,70,1,31,<1
2020-06-21,71,1,44,0
2020-06-28,68,2,42,0
2020-07-05,65,1,32,0
2020-07-12,72,2,36,0
2020-07-19,60,1,32,0
2020-07-26,67,1,31,0
2020-08-02,63,1,38,1
2020-08-09,66,2,34,0
2020-08-16,70,<1,33,<1
2020-08-23,70,2,32,0
2020-08-30,59,2,35,<1
2020-09-06,68,1,30,0
2020-09-13,64,3,39,0
2020-09-20,71,3,33,0
2020-09-27,72,2,33,0
2020-10-04,66,<1,39,0
2020-10-11,69,3,32,<1
2020-10-18,76,3,27,0
2020-10-25,67,1,35,0
2020-11-01,52,1,27,0
2020-11-08,65,2,38,0
2020-11-15,57,1,40,<1
2020-11-22,69,1,33,0
2020-11-29,69,1,40,0
2020-12-06,64,3,25,0
2020-12-13,67,2,31,0
2020-12-20,58,1,31,0
2020-12-27,40,<1,24,<1
2021-01-03,58,2,38,0
2021-01-10,72,2,42,0
